"","synset","bl_certain","hyper"
"1","awl.n.01","TRUE","handtool.n.01"
"2","bevel.n.02","TRUE","handtool.n.01"
"3","crank.n.04","FALSE","handtool.n.01"
"4","dibble.n.01","FALSE","handtool.n.01"
"5","file.n.04","TRUE","handtool.n.01"
"6","float.n.05","TRUE","handtool.n.01"
"7","graver.n.01","FALSE","handtool.n.01"
"8","gutter.n.04","FALSE","handtool.n.01"
"9","hammer.n.02","TRUE","handtool.n.01"
"10","marlinespike.n.01","FALSE","handtool.n.01"
"11","miter_box.n.01","TRUE","handtool.n.01"
"12","corkscrew.n.01","FALSE","handtool.n.01"
"13","can_opener.n.01","TRUE","handtool.n.01"
"14","latchstring.n.01","FALSE","handtool.n.01"
"15","pallet.n.03","FALSE","handtool.n.01"
"16","pestle.n.03","TRUE","handtool.n.01"
"17","icepick.n.01","TRUE","handtool.n.01"
"18","toothpick.n.01","TRUE","handtool.n.01"
"19","pincer.n.01","TRUE","handtool.n.01"
"20","pipe_cutter.n.01","FALSE","handtool.n.01"
"21","pitchfork.n.01","TRUE","handtool.n.01"
"22","plane.n.05","TRUE","handtool.n.01"
"23","pliers.n.01","TRUE","handtool.n.01"
"24","plumber's_snake.n.01","FALSE","handtool.n.01"
"25","plunger.n.03","TRUE","handtool.n.01"
"26","ravehook.n.01","FALSE","handtool.n.01"
"27","sandblaster.n.01","FALSE","handtool.n.01"
"28","saw.n.02","TRUE","handtool.n.01"
"29","screwdriver.n.01","TRUE","handtool.n.01"
"30","shovel.n.01","TRUE","handtool.n.01"
"31","soldering_iron.n.01","TRUE","handtool.n.01"
"32","spatula.n.02","FALSE","handtool.n.01"
"33","spreader.n.01","FALSE","handtool.n.01"
"34","square.n.08","TRUE","handtool.n.01"
"35","straightedge.n.01","TRUE","handtool.n.01"
"36","tire_iron.n.01","TRUE","handtool.n.01"
"37","trowel.n.01","TRUE","handtool.n.01"
"38","weeder.n.02","TRUE","handtool.n.01"
"39","wire_stripper.n.01","FALSE","handtool.n.01"
"40","wrench.n.03","TRUE","handtool.n.01"
"41","ackee.n.01","TRUE","edible_fruit.n.01"
"42","anchovy_pear.n.02","TRUE","edible_fruit.n.01"
"43","apple.n.01","TRUE","edible_fruit.n.01"
